# No.    Egy     Temp      CCE1      CCE2      ROP1      ROP2      ROP3       MCS       FMD
    1 -0.100   302.00     1.291     0.010     0.574     0.574     0.615     3.876     0.016
    2 -0.200   304.00     2.084     0.180     0.335     0.335     0.533    24.208     0.017
    3 -0.300   306.00     2.334     0.447     0.207     0.207     0.457    23.437     0.018
    4 -0.400   308.00     2.502     1.038     0.128     0.128     0.426    26.403     0.018
    5 -0.500   310.00     2.511     1.176     0.111     0.111     0.408    22.801     0.018
    6 -0.600   312.00     2.493     1.165     0.111     0.111     0.397    22.202     0.019
    7 -0.700   314.00     2.457     1.091     0.110     0.110     0.381    19.857     0.019
    8 -0.800   316.00     2.434     2.464     0.034     0.034     0.316    17.014     0.020
    9 -0.900   318.00     2.386     2.422     0.033     0.033     0.303    15.317     0.021
   10 -1.000   320.00     2.342     2.374     0.033     0.033     0.295    15.007     0.021
   11 -1.100   322.00     2.319     2.367     0.033     0.033     0.292    14.649     0.022
   12 -1.200   324.00     2.290     2.369     0.033     0.033     0.282    12.496     0.023
   13 -1.300   326.00     2.252     2.305     0.033     0.033     0.273    11.994     0.024
   14 -1.400   328.00     2.239     2.385     0.028     0.028     0.270    12.019     0.024
   15 -1.500   330.00     2.237     2.387     0.028     0.028     0.270    12.040     0.024
   16 -1.600   332.00     2.234     2.368     0.028     0.028     0.266    10.819     0.024
   17 -1.700   334.00     2.122     2.622     0.012     0.017     0.228     7.583     0.025
   18 -1.800   336.00     2.069     2.534     0.011     0.017     0.218     7.112     0.026
   19 -1.900   338.00     2.051     2.585     0.011     0.017     0.214     6.550     0.027
   20 -2.000   340.00     2.022     2.632     0.011     0.013     0.204     6.004     0.027
   21 -2.100   342.00     1.971     2.577     0.001     0.010     0.190     5.367     0.027
   22 -2.200   344.00     1.967     2.575     0.001     0.010     0.191     5.392     0.028
   23 -2.300   346.00     1.929     2.495     0.001     0.009     0.182     5.042     0.028
   24 -2.400   348.00     1.901     2.414     0.001     0.009     0.178     4.755     0.028
   25 -2.500   350.00     1.893     2.386     0.001     0.009     0.176     4.612     0.029
   26 -2.600   352.00     1.886     2.369     0.001     0.009     0.177     4.645     0.029
   27 -2.700   354.00     1.887     2.371     0.001     0.009     0.179     4.655     0.029
   28 -2.800   356.00     1.851     2.271     0.001     0.006     0.174     4.511     0.030
   29 -2.900   358.00     1.843     2.263     0.001     0.006     0.172     4.503     0.030
   30 -3.000   360.00     1.840     2.257     0.001     0.006     0.172     4.516     0.031
   31 -3.100   362.00     1.832     2.250     0.001     0.006     0.172     4.529     0.031
   32 -3.200   364.00     1.810     2.185     0.001     0.006     0.170     4.474     0.031
   33 -3.300   366.00     1.779     2.092     0.001     0.004     0.164     4.396     0.032
   34 -3.400   368.00     1.779     2.092     0.001     0.004     0.164     4.396     0.031
   35 -3.500   370.00     1.772     2.085     0.001     0.004     0.164     4.407     0.032
   36 -3.600   372.00     1.762     2.064     0.001     0.004     0.164     4.428     0.032
   37 -3.700   374.00     1.758     2.050     0.001     0.004     0.165     4.439     0.032
   38 -3.800   376.00     1.761     2.073     0.001     0.004     0.166     4.465     0.033
   39 -3.900   378.00     1.751     2.054     0.001     0.004     0.166     4.477     0.033
   40 -4.000   380.00     1.746     2.051     0.001     0.004     0.166     4.483     0.033
   41 -4.100   382.00     1.741     2.047     0.001     0.004     0.166     4.489     0.033
   42 -4.200   384.00     1.735     2.042     0.001     0.004     0.166     4.497     0.034
   43 -4.300   386.00     1.733     2.041     0.001     0.004     0.166     4.499     0.034
   44 -4.400   388.00     1.735     2.044     0.001     0.004     0.168     4.506     0.034
   45 -4.500   390.00     1.726     2.024     0.001     0.004     0.168     4.515     0.034
   46 -4.600   392.00     1.723     2.022     0.001     0.004     0.168     4.519     0.034
   47 -4.700   394.00     1.721     2.023     0.001     0.004     0.169     4.523     0.034
   48 -4.800   396.00     1.705     1.995     0.001     0.004     0.169     4.538     0.034
   49 -4.900   398.00     1.705     1.995     0.001     0.004     0.169     4.538     0.034
   50 -5.000   400.00     1.701     1.992     0.001     0.004     0.169     4.543     0.034
   51 -5.100   402.00     1.701     1.992     0.001     0.004     0.169     4.543     0.034
   52 -5.200   404.00     1.705     2.013     0.001     0.004     0.170     4.559     0.034
   53 -5.300   406.00     1.687     1.976     0.001     0.004     0.170     4.572     0.034
   54 -5.400   408.00     1.685     1.975     0.001     0.004     0.170     4.575     0.034
   55 -5.500   410.00     1.684     1.971     0.001     0.004     0.169     4.568     0.034
   56 -5.600   412.00     1.680     1.970     0.001     0.004     0.170     4.577     0.035
   57 -5.700   414.00     1.680     1.970     0.001     0.004     0.170     4.577     0.035
   58 -5.800   416.00     1.680     1.970     0.001     0.004     0.170     4.577     0.034
   59 -5.900   418.00     1.675     1.967     0.001     0.004     0.170     4.582     0.034
   60 -6.000   420.00     1.673     1.966     0.001     0.004     0.171     4.588     0.035
